1,tench,koala1000_1,animal,fish,fish
2,goldfish,koala1000_2,animal,fish,fish
3,great_white_shark,koala1000_3,animal,fish,shark
4,tiger_shark,koala1000_4,animal,fish,shark
5,hammerhead,koala1000_5,animal,fish,shark
6,electric_ray,koala1000_6,animal,fish,ray
7,stingray,koala1000_7,animal,fish,ray
8,cock,koala1000_8,animal,bird,fowl
9,hen,koala1000_9,animal,bird,fowl
10,ostrich,koala1000_10,animal,bird,fowl
11,brambling,koala1000_11,animal,bird,songbird
12,goldfinch,koala1000_12,animal,bird,songbird
13,house_finch,koala1000_13,animal,bird,songbird
14,junco,koala1000_14,animal,bird,songbird
15,indigo_bunting,koala1000_15,animal,bird,songbird
16,robin,koala1000_16,animal,bird,songbird
17,bulbul,koala1000_17,animal,bird,songbird
18,jay,koala1000_18,animal,bird,songbird
19,magpie,koala1000_19,animal,bird,songbird
20,chickadee,koala1000_20,animal,bird,songbird
21,water_ouzel,koala1000_21,animal,bird,songbird
22,kite,koala1000_22,animal,bird,bird_of_prey
23,eagle,koala1000_23,animal,bird,bird_of_prey
24,vulture,koala1000_24,animal,bird,bird_of_prey
25,owl,koala1000_25,animal,bird,bird_of_prey
26,european_fire_salamander,koala1000_26,animal,reptile,salamander
27,common_newt,koala1000_27,animal,reptile,salamander
28,eft,koala1000_28,animal,reptile,salamander
29,spotted_salamander,koala1000_29,animal,reptile,salamander
30,axolotl,koala1000_30,animal,reptile,salamander
31,bullfrog,koala1000_31,animal,reptile,frog
32,tree_frog,koala1000_32,animal,reptile,frog
33,tailed_frog,koala1000_33,animal,reptile,frog
34,loggerhead,koala1000_34,animal,reptile,turtle
35,leatherback_turtle,koala1000_35,animal,reptile,turtle
36,mud_turtle,koala1000_36,animal,reptile,turtle
37,terrapin,koala1000_37,animal,reptile,turtle
38,box_turtle,koala1000_38,animal,reptile,turtle
39,banded_gecko,koala1000_39,animal,reptile,lizard
40,common_iguana,koala1000_40,animal,reptile,lizard
41,american_chameleon,koala1000_41,animal,reptile,lizard
42,whiptail,koala1000_42,animal,reptile,lizard
43,agama,koala1000_43,animal,reptile,lizard
44,frilled_lizard,koala1000_44,animal,reptile,lizard
45,alligator_lizard,koala1000_45,animal,reptile,lizard
46,gila_monster,koala1000_46,animal,reptile,lizard
47,green_lizard,koala1000_47,animal,reptile,lizard
48,african_chameleon,koala1000_48,animal,reptile,lizard
49,komodo_dragon,koala1000_49,animal,reptile,lizard
50,african_crocodile,koala1000_50,animal,reptile,crocodile_or_alligator
51,american_alligator,koala1000_51,animal,reptile,crocodile_or_alligator
52,triceratops,koala1000_52,animal,reptile,dinosaur
53,thunder_snake,koala1000_53,animal,reptile,snake
54,ringneck_snake,koala1000_54,animal,reptile,snake
55,hognose_snake,koala1000_55,animal,reptile,snake
56,green_snake,koala1000_56,animal,reptile,snake
57,king_snake,koala1000_57,animal,reptile,snake
58,garter_snake,koala1000_58,animal,reptile,snake
59,water_snake,koala1000_59,animal,reptile,snake
60,vine_snake,koala1000_60,animal,reptile,snake
61,night_snake,koala1000_61,animal,reptile,snake
62,boa_constrictor,koala1000_62,animal,reptile,snake
63,rock_python,koala1000_63,animal,reptile,snake
64,indian_cobra,koala1000_64,animal,reptile,snake
65,green_mamba,koala1000_65,animal,reptile,snake
66,sea_snake,koala1000_66,animal,reptile,snake
67,horned_viper,koala1000_67,animal,reptile,snake
68,diamondback,koala1000_68,animal,reptile,snake
69,sidewinder,koala1000_69,animal,reptile,snake
70,trilobite,koala1000_70,animal,invertebrate,crustacean
71,harvestman,koala1000_71,animal,invertebrate,insect
72,scorpion,koala1000_72,animal,invertebrate,insect
73,black_and_gold_garden_spider,koala1000_73,animal,invertebrate,insect
74,barn_spider,koala1000_74,animal,invertebrate,insect
75,garden_spider,koala1000_75,animal,invertebrate,insect
76,black_widow,koala1000_76,animal,invertebrate,insect
77,tarantula,koala1000_77,animal,invertebrate,insect
78,wolf_spider,koala1000_78,animal,invertebrate,insect
79,tick,koala1000_79,animal,invertebrate,insect
80,centipede,koala1000_80,animal,invertebrate,insect
81,black_grouse,koala1000_81,animal,bird,game_bird
82,ptarmigan,koala1000_82,animal,bird,game_bird
83,ruffed_grouse,koala1000_83,animal,bird,game_bird
84,prairie_chicken,koala1000_84,animal,bird,game_bird
85,peacock,koala1000_85,animal,bird,game_bird
86,quail,koala1000_86,animal,bird,game_bird
87,partridge,koala1000_87,animal,bird,game_bird
88,african_grey,koala1000_88,animal,bird,parrot
89,macaw,koala1000_89,animal,bird,parrot
90,cockatoo,koala1000_90,animal,bird,parrot
91,lorikeet,koala1000_91,animal,bird,parrot
92,coucal,koala1000_92,animal,bird,songbird
93,bee_eater,koala1000_93,animal,bird,parrot
94,hornbill,koala1000_94,animal,bird,parrot
95,hummingbird,koala1000_95,animal,bird,songbird
96,jacamar,koala1000_96,animal,bird,parrot
97,toucan,koala1000_97,animal,bird,parrot
98,drake,koala1000_98,animal,bird,water_bird
99,merganser,koala1000_99,animal,bird,fowl
100,goose,koala1000_100,animal,bird,water_bird
101,black_swan,koala1000_101,animal,bird,water_bird
102,tusker,koala1000_102,animal,mammal,elephant
103,anteater,koala1000_103,animal,mammal,edentate
104,platypus,koala1000_104,animal,mammal,edentate
105,wallaby,koala1000_105,animal,mammal,kangaroo
106,koala,koala1000_106,animal,mammal,koala
107,wombat,koala1000_107,animal,mammal,kangaroo
108,jellyfish,koala1000_108,animal,invertebrate,jellyfish
109,sea_anemone,koala1000_109,animal,invertebrate,crustacean
